index,input,steps_count,overall_confidence,status,elapsed_s,unresolved
1,Open https://example.com and click on the Sign up link,2,0.91,pass,0.03,
2,Go to https://example.com/login then click the login button,2,0.91,fail,0.016,heuristic_login
3,Navigate to example.com/dashboard and check the title is Dashboard,2,0.9,pass,0.016,
4,Enter john@example.com in the email field and type secret in the password field,2,0.92,pass,0.015,
5,Fill username with testuser and password with mypass123,2,0.92,pass,0.014,
6,Type Hello World in the search box and click search button,2,0.91,pass,0.015,
7,fill the #first-name field with 'Avadhi' and fill the #last-name with 'Singhal',2,0.92,pass,0.014,
8,input 555-1234 into phone input and press Enter,2,0.91,pass,0.015,
9,type 'quick brown fox' slowly in #notes,1,0.87,pass,0.014,
10,Select India from country dropdown and check the terms checkbox,2,0.865,pass,0.014,
11,choose 'USD' in the currency selector and uncheck subscribe checkbox,2,0.865,pass,0.016,
12,"Select multiple options apple, banana from #fruits multi-select",1,0.86,pass,0.014,
13,Upload report.csv to the #report-upload input,1,0.88,pass,0.012,
14,Check report.csv was downloaded within 10 seconds,1,0.86,pass,0.013,
15,Wait for loading spinner to disappear and verify Welcome message appears,2,0.86,fail,0.013,
16,Wait until the #results table appears and ensure it has at least 1 row,2,0.86,pass,0.012,
17,verify that the page contains 'Thank you',1,0.88,pass,0.011,
18,assert title is 'Account Summary',1,0.88,pass,0.012,
19,Log in as admin with password password123,2,0.825,pass,0.013,
20,Sign out,1,0.85,pass,0.028,
21,Verify user is logged in,1,0.87,pass,0.012,
22,Clear cookies and set cookie sessionId to ABC123,2,0.87,pass,0.034,
23,set local storage token to 'abcd1234',1,0.87,pass,0.012,
24,make get request to https://api.example.com/users/42,1,0.86,pass,0.031,
25,post to api https://api.example.com/events with {'x':1},1,0.86,pass,0.03,
26,Find row in #users-table where email equals test@example.com,1,0.85,pass,0.012,
27,Sort #log-table by date descending,1,0.85,pass,0.032,
28,Check row 1 in #order-table column status is Completed,1,0.86,pass,0.012,
29,Close the confirmation modal and verify 'Deleted' toast appears,2,0.83,pass,0.032,
30,Verify 'Success' toast says data saved,1,0.86,pass,0.029,
31,Take screenshot as dashboard.png,2,0.85,pass,0.03,
32,Get text from '#welcome' and save as welcome_msg,2,0.84,pass,0.011,
33,Get data-customer-id attribute from '#profile' and save as cid,2,0.84,pass,0.015,
34,Drag file-item to drop-zone,1,0.83,pass,0.012,
35,Set slider #volume to 70,1,0.85,pass,0.035,
36,"As admin, open /settings and verify access granted",3,0.877,pass,0.03,
37,"As guest, try to edit settings and check permission denied",2,0.855,fail,0.013,try to edit settings
38,expect #banner background-color to be #ffffff,1,0.85,pass,0.012,
39,expect #search to be enabled,1,0.85,pass,0.033,
40,"Open https://login.example.com, enter admin in username, type password123 in password, and click login button",4,0.915,fail,0.014,heuristic_login
41,"Go to the dashboard, wait for widgets to load, then export csv and verify file downloaded",4,0.82,pass,0.014,
42,Please do the obvious check on the main page,1,0.85,pass,0.012,
43,Ensure everything ok and if not report,1,0.88,fail,0.031,not report
44,"Navigate to https://example.com/products, filter by category Electronics, sort price descending, click the first product, add to cart, then go to cart and assert subtotal > 1000",3,0.9,fail,0.014,"filter by category Electronics,sort price descending,add to cart,go to cart"
45,"Open site, login as 'shopper' with 's3cr3t', search for 'laptop', set quantity to 2, and checkout",4,0.825,fail,0.015,heuristic_login
46,Enter test@email.com in #email and click #submit,2,0.91,pass,0.011,
47,click on the 'profile' link and then take screenshot of profile section,2,0.875,pass,0.012,
48,paste 'clip text' into #notes,1,0.83,pass,0.012,
49,copy text from .address and save as addr,2,0.84,pass,0.013,
50,Press Enter,1,0.9,pass,0.011,
51,Press Ctrl+S to save the form,1,0.9,pass,0.013,
52,expect #email value test@example.com,1,0.85,pass,0.011,
53,expect url contains /dashboard,1,0.85,pass,0.029,
54,expect page contains 'Privacy Policy',1,0.85,pass,0.03,
55,"wait for the loader to be gone, then make sure the data table is visible",1,0.86,fail,0.013,make sure the data table is visible
56,"Open https://example.com; then, 'click' the 'Start' button.",1,0.92,fail,0.032,'click' the 'Start' button.
57,Upload 'my report (final).pdf' to 'Resume' input field,1,0.8,pass,0.013,
58,set cookie theme to dark mode,1,0.87,pass,0.032,
59,select all in #notes and replace with 'N/A',1,0.88,pass,0.011,
60,type 'hello' quickly in #chat,1,0.87,pass,0.012,
61,verify 3 .row elements exist in #results,1,0.87,pass,0.034,
62,press the Tab key then press Enter,2,0.9,pass,0.012,
63,drag order-3 onto order-1,1,0.83,pass,0.013,
64,check the checkbox 'accept terms',1,0.85,pass,0.032,
65,uncheck the 'subscribe' option,1,0.85,pass,0.014,
66,check that #price contains 199.99,1,0.88,pass,0.015,
67,set local storage user.locale to en-US,1,0.87,pass,0.016,
68,call get api https://api.example.com/health,1,0.86,pass,0.015,
69,sign in as john using pass hunter2,2,0.825,pass,0.015,
70,browse to www.example.org and click register,2,0.91,pass,0.016,
71,attach resume.docx to cv upload input,1,0.85,pass,0.015,
72,verify modal 'Confirmation' appears,1,0.88,pass,0.015,
73,dismiss popup,1,0.8,pass,0.032,
74,ensure toast success says 'Saved',1,0.86,pass,0.013,
