api,endpoint,nl_input,definition_of_api,paraphrase_type,embedding_model
login,https://example.com/api/login,use X and pasword to connect,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,user name password Y signin,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,use usrname and pass to logn,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,start session using user and pass Y,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
login,https://example.com/api/login,grant access after verifying user name and pasword,"Authenticates a user using provided username and password, returning an access token or session.",login_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use X and pasword to connect,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,user name password Y signin,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use usrname and pass to logn,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,start session using user and pass Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,grant access after verifying user name and pasword,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
