"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create a new order with payment method as card and currency as INR","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0001"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","valid_flow","Normal order creation with payment method as card and currency as INR"
"Create a new order with payment method as upi and currency as USD","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0002"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","valid_flow","Normal order creation with payment method as upi and currency as USD"
"Create a new order with payment method as cod and currency as INR","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_PQR"", ""quantity"": 3}], ""payment"": {""method"": ""cod""}, ""shipping_address"": {""city"": ""Kolkata"", ""line1"": ""12 Park Lane"", ""state"": ""WB"", ""country"": ""IN"", ""postal_code"": ""700001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0003"", ""total_amount"": 2997, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-05""}}","valid","valid_flow","Normal order creation with payment method as cod and currency as INR"
"Create a new order with payment method as card and currency as INR with a typo in the product ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0004"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","typo","Order creation with a typo in the product ID"
"Create a new order with payment method as upi and currency as USD with a special character in the customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust!123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0005"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a special character in the customer ID"
"Create a new order with payment method as card and currency as INR with a long product ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC123456789"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0006"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a long product ID"
"Create a new order with payment method as upi and currency as USD with a null shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": null}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0007"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a null shipping address"
"Create a new order with payment method as card and currency as INR with a large quantity","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 100}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0008"", ""total_amount"": 9998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a large quantity"
"Create a new order with payment method as upi and currency as USD with a null payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": null, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0009"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a null payment method"
"Create a new order with payment method as card and currency as INR with a negative quantity","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": -2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0010"", ""total_amount"": 0, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a negative quantity"
