query,intent,slots,api_name,endpoint,method,slots_json
Reset password for {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Forgot password for account {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Send password reset link to {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Reset password for {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Forgot password for account {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Send password reset link to {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Reset password for {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Forgot password for account {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Send password reset link to {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
Reset password for {email},reset_password,{},reset_password,<base_url>/api/reset_password,POST,{}
