query,intent,slots,api_name,endpoint,method,slots_json
Register new account with {username} and {email},register,{},register,<base_url>/api/register,POST,{}
Create account for {username},register,{},register,<base_url>/api/register,POST,{}
Sign up with email {email} and username {username},register,{},register,<base_url>/api/register,POST,{}
Register new account with {username} and {email},register,{},register,<base_url>/api/register,POST,{}
Create account for {username},register,{},register,<base_url>/api/register,POST,{}
Sign up with email {email} and username {username},register,{},register,<base_url>/api/register,POST,{}
Register new account with {username} and {email},register,{},register,<base_url>/api/register,POST,{}
Create account for {username},register,{},register,<base_url>/api/register,POST,{}
Sign up with email {email} and username {username},register,{},register,<base_url>/api/register,POST,{}
Register new account with {username} and {email},register,{},register,<base_url>/api/register,POST,{}
