"t_id","query","intent_type","simulate","confidence_score","notes"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a new customer order for a mobile phone.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process an online purchase for customer account 5678.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order entry with specific shipping details.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for the new iPhone 15 Pro Max 256GB Blue.","action","False","0.96","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for subscription service renewal.","action","False","0.88","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a customer order including payment authorization.","action","False","0.93","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat a new custmer order.","action","False","0.78","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","prcoess an onlie order for Samsong phone.","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt a purhcase order for Addidas shoes.","action","False","0.77","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","pleace an orrder for custoner ID 999.","action","False","0.76","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet new ordr with shippin info.","action","False","0.74","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust ord for ip15 pro.","action","False","0.85","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","proc new purch ord w/ CC.","action","False","0.83","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit ord for cust acct 456.","action","False","0.84","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, lemme make an order.","action","False","0.68","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gonna hook up an order for a new gadget.","action","False","0.7","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna get an order in for some stuff.","action","False","0.69","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","False","0.89","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place order","action","False","0.87","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulate order creation for validation.","action","True","0.91","test"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a new customer order for an iPhone 15 Pro Max 256GB blue.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a purchase order for a new subscription service.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order for customer ID 7890 with standard shipping.","action","False","0.93","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order with payment details and item list.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to register a new order through the system.","action","False","0.88","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order for a telecom service.","action","False","0.91","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat a custmer ordr for a Samsong phone.","action","False","0.78","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plase an oder for Addidas shoes.","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new orfer for a cliennt","action","False","0.72","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt an orrder","action","False","0.7","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creatye a neww ordr","action","False","0.68","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust ord for ip15 pro.","action","False","0.85","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord w/ express shipp.","action","False","0.82","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit purch ord for cust 456.","action","False","0.8","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, hook me up with an order.","action","False","0.77","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gimme a new order, stat!","action","False","0.79","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna get some stuff ordered.","action","False","0.76","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","customer order","action","False","0.89","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","False","0.9","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulate new order creation.","action","True","0.94","test"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order for an iPhone 15 Pro Max 256GB Blue.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order for a Samsung Galaxy S24 Ultra.","action","False","0.93","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for a new Adidas tracksuit.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a customer order for product ID XYZ123.","action","False","0.88","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order with specific shipping and payment details.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an e-commerce order for a client.","action","False","0.87","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custmer ordr for an iphon 15 pro max.","action","False","0.78","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","oder creatin for a Samsong Galexy.","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new orfer for Addidas shoos.","action","False","0.72","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet ordeer for product ID XYX123.","action","False","0.7","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt purhase order.","action","False","0.68","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust ord for ip15 pro.","action","False","0.82","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord api for Samsong.","action","False","0.8","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create ord w/ express ship.","action","False","0.79","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna order some new gear.","action","False","0.77","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plz add an order for that new phone.","action","False","0.74","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, hook me up with an order for that Addidas stuff.","action","False","0.71","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order.","action","False","0.85","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new customer order.","action","False","0.83","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","dry run order creation for a test product.","action","True","0.9","test"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order for products in the cart.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for a new client.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase request with standard shipping.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order for subscription service activation.","action","False","0.93","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an e-commerce order with payment details.","action","False","0.91","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a customer order for ID 7890 with multiple items.","action","False","0.94","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat new custmer ordr","action","False","0.78","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plase an oder for costumer","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt a purchas ordr","action","False","0.79","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make a nw order for a clint","action","False","0.76","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order cretion apu","action","False","0.74","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create new cust ord","action","False","0.88","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place ord w/ CC info","action","False","0.87","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit purch req for cust ID 567","action","False","0.86","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, add this order for my dude","action","False","0.72","slang"
