query,intent,slots,api_name,endpoint,method,slots_json
Update profile for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Change name to {name} for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Modify phone number to {phone},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Update profile for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Change name to {name} for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Modify phone number to {phone},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Update profile for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Change name to {name} for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Modify phone number to {phone},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
Update profile for user {user_id},update_profile,{},update_profile,<base_url>/api/update_profile,POST,{}
