index,input,steps_count,overall_confidence,status,elapsed_s,unresolved
1,Open https://example.com and click on the Sign up link,2,0.91,pass,2.122,
2,Go to https://example.com/login then click the login button,2,0.91,fail,3.486,heuristic_login
3,Navigate to example.com/dashboard and check the title is Dashboard,2,0.9,pass,2.059,
4,Enter john@example.com in the email field and type secret in the password field,2,0.92,pass,2.046,
5,Fill username with testuser and password with mypass123,2,0.92,pass,2.051,
6,Type Hello World in the search box and click search button,2,0.91,pass,2.027,
7,fill the #first-name field with 'Avadhi' and fill the #last-name with 'Singhal',2,0.92,pass,2.034,
8,input 555-1234 into phone input and press Enter,2,0.91,pass,2.051,
9,type 'quick brown fox' slowly in #notes,1,0.87,pass,2.044,
10,Select India from country dropdown and check the terms checkbox,2,0.865,pass,2.049,
11,choose 'USD' in the currency selector and uncheck subscribe checkbox,2,0.865,pass,2.039,
12,"Select multiple options apple, banana from #fruits multi-select",1,0.86,pass,2.064,
13,Upload report.csv to the #report-upload input,1,0.88,pass,2.034,
14,Check report.csv was downloaded within 10 seconds,1,0.86,pass,2.059,
15,Wait for loading spinner to disappear and verify Welcome message appears,2,0.86,fail,2.022,
16,Wait until the #results table appears and ensure it has at least 1 row,2,0.86,pass,2.064,
17,verify that the page contains 'Thank you',1,0.88,pass,2.033,
18,assert title is 'Account Summary',1,0.88,pass,2.057,
19,Log in as admin with password password123,2,0.825,pass,2.031,
20,Sign out,1,0.85,pass,2.042,
21,Verify user is logged in,1,0.87,pass,2.043,
22,Clear cookies and set cookie sessionId to ABC123,2,0.87,pass,2.021,
23,set local storage token to 'abcd1234',1,0.87,pass,2.037,
24,make get request to https://api.example.com/users/42,1,0.86,pass,2.018,
25,post to api https://api.example.com/events with {'x':1},1,0.86,pass,2.042,
26,Find row in #users-table where email equals test@example.com,1,0.85,pass,2.043,
27,Sort #log-table by date descending,1,0.85,pass,2.062,
28,Check row 1 in #order-table column status is Completed,1,0.86,pass,2.017,
29,Close the confirmation modal and verify 'Deleted' toast appears,2,0.83,pass,2.022,
30,Verify 'Success' toast says data saved,1,0.86,pass,2.022,
31,Take screenshot as dashboard.png,2,0.85,pass,2.03,
32,Get text from '#welcome' and save as welcome_msg,2,0.84,pass,2.039,
33,Get data-customer-id attribute from '#profile' and save as cid,2,0.84,pass,2.04,
34,Drag file-item to drop-zone,1,0.83,pass,2.063,
35,Set slider #volume to 70,1,0.85,pass,2.054,
36,"As admin, open /settings and verify access granted",3,0.877,pass,2.053,
37,"As guest, try to edit settings and check permission denied",2,0.855,fail,2.055,try to edit settings
38,expect #banner background-color to be #ffffff,1,0.85,pass,2.047,
39,expect #search to be enabled,1,0.85,pass,2.033,
40,"Open https://login.example.com, enter admin in username, type password123 in password, and click login button",4,0.915,fail,2.047,heuristic_login
41,"Go to the dashboard, wait for widgets to load, then export csv and verify file downloaded",4,0.82,pass,2.049,
42,Please do the obvious check on the main page,1,0.85,pass,2.065,
43,Ensure everything ok and if not report,1,0.88,fail,2.049,not report
44,"Navigate to https://example.com/products, filter by category Electronics, sort price descending, click the first product, add to cart, then go to cart and assert subtotal > 1000",3,0.9,fail,2.068,"filter by category Electronics,sort price descending,add to cart,go to cart"
45,"Open site, login as 'shopper' with 's3cr3t', search for 'laptop', set quantity to 2, and checkout",4,0.825,fail,2.043,heuristic_login
46,Enter test@email.com in #email and click #submit,2,0.91,pass,2.014,
47,click on the 'profile' link and then take screenshot of profile section,2,0.875,pass,2.026,
48,paste 'clip text' into #notes,1,0.83,pass,2.06,
49,copy text from .address and save as addr,2,0.84,pass,2.077,
50,Press Enter,1,0.9,pass,2.066,
51,Press Ctrl+S to save the form,1,0.9,pass,2.036,
52,expect #email value test@example.com,1,0.85,pass,2.049,
53,expect url contains /dashboard,1,0.85,pass,2.061,
54,expect page contains 'Privacy Policy',1,0.85,pass,2.025,
55,"wait for the loader to be gone, then make sure the data table is visible",1,0.86,fail,2.059,make sure the data table is visible
56,"Open https://example.com; then, 'click' the 'Start' button.",1,0.92,fail,2.05,'click' the 'Start' button.
57,Upload 'my report (final).pdf' to 'Resume' input field,1,0.8,pass,2.035,
58,set cookie theme to dark mode,1,0.87,pass,2.074,
59,select all in #notes and replace with 'N/A',1,0.88,pass,2.034,
60,type 'hello' quickly in #chat,1,0.87,pass,2.058,
61,verify 3 .row elements exist in #results,1,0.87,pass,2.028,
62,press the Tab key then press Enter,2,0.9,pass,2.047,
63,drag order-3 onto order-1,1,0.83,pass,2.044,
64,check the checkbox 'accept terms',1,0.85,pass,2.059,
65,uncheck the 'subscribe' option,1,0.85,pass,2.04,
66,check that #price contains 199.99,1,0.88,pass,2.091,
67,set local storage user.locale to en-US,1,0.87,pass,2.059,
68,call get api https://api.example.com/health,1,0.86,pass,2.041,
69,sign in as john using pass hunter2,2,0.825,pass,2.025,
70,browse to www.example.org and click register,2,0.91,pass,2.063,
71,attach resume.docx to cv upload input,1,0.85,pass,2.047,
72,verify modal 'Confirmation' appears,1,0.88,pass,2.04,
73,dismiss popup,1,0.8,pass,2.02,
74,ensure toast success says 'Saved',1,0.86,pass,2.059,
