"t_id","query","intent_type","confidence_score"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I create a new customer order programmatically?","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a new purchase order for a client.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order with specific shipping and payment details.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for a new customer account.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to generate a customer order.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order entry in the system.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new e-commerce order.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to register a customer's purchase.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to add a new order to the database?","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for order placement with inventory validation.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order with multiple items and a discount.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order for subscription service.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a manual order for a customer support agent.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to simulate customer order creation.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Test the order creation workflow without live data.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Validate order logic using the simulate mode.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a unique order ID for a new transaction.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Programmatically create an order via REST API.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What endpoint creates customer orders?","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to integrate order creation into my application?","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order with tokenized payment information.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for creating orders with idempotency support.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order including tax and shipping calculations.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a customer order with a specified delivery date.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Endpoint to create a new retail order.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place a new order for a telecom service.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order requiring authentication.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to handle high-volume order creation.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to create an order with error handling details?","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Automated system for creating customer orders.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I want to create a new order from my web store.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to create an order and reserve inventory.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a payment-authorized order.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a customer order with a specific customer ID.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for creating orders in a microservices environment.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custmer ordr","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new orfer for cusotmer","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","oder creatin ap","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet ordeer for client","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add a new ordr","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt ordr","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plce new ordar","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custumer order cretion","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","mak a new order","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","i need to creat an oder","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordr palcement","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create a costumer oder","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulte order creation","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","test ordr creaion","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","genrate ordr id","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","programmaticlly creat order","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","api for creatinng orders","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","shippinng ordr","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","paymnt order creat","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add ordr with paymnt","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ordrr entry","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custmr order","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat new purcahse","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordr managment","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cretae a order","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust ord","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord API","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit purch ord","action","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add ord w/ pay","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust ord creation","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for ord place","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make new cust order","action","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","sim ord create","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","test ord API","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gen ord ID","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","prog create ord","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord w/ ship det","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new retail ord","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","telecom ord API","action","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","auth ord creation","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna make an order","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, create an order","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gimme new order","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add my order, plz","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","need 2 make a purchase","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","lemme get an order goin'","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","set up an order for a dude","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order some stuff","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","hook me up with an order","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","do the order thingy","action","0.68"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make an order real quick","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","fire off an order","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","just order this","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create a fresh order","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna place a new order","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","0.96"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new order","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order API","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add order","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit order","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","customer order","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place order","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make order","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order creation","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a new customer transaction.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to initiate a customer purchase?","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for creating sales orders.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Record a new client order.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Utilize API for order placement.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat a new costomer ordr","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","oder creationn","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add new ordar for costumer","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulat order","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","payment ordr","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord for cust","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create ord w/ pay info","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord gen API","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make ord fast","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","lemme create an order","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need a new order","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order for customer 123.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to handle order initiation.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to post a new customer order?","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order with payment gateway integration.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat new costumer ordar","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","oder entry","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add ordr with shippping","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulat order creation API","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create a new custumer order","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add cust ord","action","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order API docs","info","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gen new ord","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna buy stuff","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","let's make an order","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new purchase","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order system","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order for a new web store customer.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit order with inventory checks.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for streamlined order processing.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to create an order in simulation mode?","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat new customer ordr","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordr entry api","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet a new ordr","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust purch","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for cust ord","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make order happen","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","need to order","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order now","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order with specific items.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I place an order for a new customer?","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order using the API.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to generate an e-commerce order.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What is the endpoint for creating customer orders?","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Programmatically add a new order to the system.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for a subscription service.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a manual order through the backend.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to use the API to create an order with payment details?","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order with a customer ID and shipping information.","action","0.96"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a simulated customer order for testing.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for processing new sales orders.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I want to create an order and reserve inventory.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Can I create an order with a specific unique ID?","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What is the process for creating a new customer order?","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an order for customer 54321 with express delivery.","action","0.97"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to create an order without immediate payment authorization?","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Develop an application that creates customer orders.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Integrate with the customer order creation service.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Need to create an order for product SKU 123.","action","0.96"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What API handles new order submissions?","info","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a customer order with a tokenized payment.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order in dry run mode.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to create an order and get an order ID?","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place a new order with multiple items.","action","0.96"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API documentation for creating a customer order.","info","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order for an existing user.","action","0.94"
